Entity,Code,Year,Deaths,Historical_Population
India,IND,2010,207140,1234281163.0
India,IND,2019,211975,1366417756.0
India,IND,1990,129821,873277799.0
India,IND,1991,135557,891273202.0
India,IND,1992,138623,909307018.0
India,IND,1993,141224,927403866.0
India,IND,1994,144071,945601828.0
India,IND,1995,145480,963922586.0
India,IND,1996,147942,982365248.0
India,IND,1997,157629,1000900028.0
India,IND,1998,163005,1019483586.0
India,IND,1999,167469,1038058154.0
India,IND,2000,169328,1056575548.0
India,IND,2001,170530,1075000094.0
India,IND,2002,169552,1093317187.0
India,IND,2003,166483,1111523146.0
India,IND,2004,168375,1129623466.0
India,IND,2005,175739,1147609924.0
India,IND,2006,183540,1165486291.0
India,IND,2007,190881,1183209471.0
India,IND,2008,199985,1200669762.0
India,IND,2009,202133,1217726217.0
India,IND,2011,213755,1250287939.0
India,IND,2012,218869,1265780243.0
India,IND,2013,213635,1280842119.0
India,IND,2014,204750,1295600768.0
India,IND,2015,201060,1310152392.0
India,IND,2016,199234,1324517250.0
India,IND,2017,199807,1338676779.0
India,IND,2018,208562,1352642283.0